id,kind,t_host_s,trial,block,phase,last_marker_request_id,last_marker_code,payload_json,tick,game_phase,x,y,vy,raw,normalized,smoothed,result,collision_object,reason,grip_sample_id,scheduled_lateness_s
159,task,6.760632400051691,2,1,iti,145,4,"{""trial"": 2, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 11, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 158, ""scheduled_lateness_s"": 0.016548600047826767}",11,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,158,0.016548600047826767
175,task,6.877526100026444,3,1,prepare,161,6,"{""trial"": 3, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 12, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 174, ""scheduled_lateness_s"": 0.008439800003543496}",12,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,174,0.008439800003543496
190,task,6.9957128000678495,3,1,feedback,178,2,"{""trial"": 3, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 13, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 189, ""scheduled_lateness_s"": 0.0016213000053539872}",13,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,189,0.0016213000053539872
207,task,7.128043700009584,3,1,feedback,193,3,"{""trial"": 3, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 14, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 206, ""scheduled_lateness_s"": 0.008942499989643693}",14,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,206,0.008942499989643693
219,task,7.244916100054979,3,1,result,193,3,"{""trial"": 3, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 15, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 218, ""scheduled_lateness_s"": 0.0008157000411301851}",15,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,218,0.0008157000411301851
235,task,7.377106399973854,3,1,iti,221,4,"{""trial"": 3, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 16, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 234, ""scheduled_lateness_s"": 0.008022399968467653}",16,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,234,0.008022399968467653
253,task,7.511528700008057,4,1,prepare,238,6,"{""trial"": 4, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 17, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 252, ""scheduled_lateness_s"": 0.01744570001028478}",17,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,252,0.01744570001028478
268,task,7.628039599978365,4,1,feedback,256,2,"{""trial"": 4, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 18, ""phase_blocks"": 1, ""x"": 20.0, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 0, ""grip_sample_id"": 267, ""scheduled_lateness_s"": 0.008954399963840842}",18,2,20.0,50.0,0.0,0.81,0,0.0,0,0,,267,0.008954399963840842
283,task,7.744492499972694,4,1,feedback,271,3,"{""trial"": 4, ""block"": 1, ""phase"": ""feedback"", ""game_phase"": 2, ""tick"": 19, ""phase_blocks"": 2, ""x"": 20.00125, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 1, ""grip_sample_id"": 282, ""scheduled_lateness_s"": 0.0003850000211969018}",19,2,20.00125,50.0,0.0,0.81,0,0.0,0,0,,282,0.0003850000211969018
297,task,7.878409099997953,4,1,result,271,3,"{""trial"": 4, ""block"": 1, ""phase"": ""result"", ""game_phase"": 4, ""tick"": 20, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 296, ""scheduled_lateness_s"": 0.009301900048740208}",20,4,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,296,0.009301900048740208
313,task,8.010358200059272,4,1,iti,300,4,"{""trial"": 4, ""block"": 1, ""phase"": ""iti"", ""game_phase"": 6, ""tick"": 21, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 1, ""collision_object"": 0, ""reason"": ""duration"", ""feedback_steps"": 2, ""grip_sample_id"": 312, ""scheduled_lateness_s"": 0.01627240004017949}",21,6,20.002499999999998,50.0,0.0,0.81,0,0.0,1,0,duration,312,0.01627240004017949
330,task,8.12957800005097,5,1,prepare,316,6,"{""trial"": 5, ""block"": 1, ""phase"": ""prepare"", ""game_phase"": 1, ""tick"": 22, ""phase_blocks"": 1, ""x"": 20.002499999999998, ""y"": 50.0, ""vy"": 0.0, ""raw"": 0.81, ""normalized"": 0, ""smoothed"": 0.0, ""result"": 0, ""collision_object"": 0, ""reason"": """", ""feedback_steps"": 2, ""grip_sample_id"": 329, ""scheduled_lateness_s"": 0.010478900047019124}",22,1,20.002499999999998,50.0,0.0,0.81,0,0.0,0,0,,329,0.010478900047019124
